IP,PORT,DESCRIPTION
66.153.203.75,80,Horry Telephone Cooperative
107.190.149.254,80,Horry Telephone Cooperative
172.75.29.218,80,Time Warner Cable
172.75.122.234,80,Time Warner Cable
198.24.77.34,80,Time Warner Cable
64.138.253.247,80,Horry Telephone Cooperative
24.172.232.181,80,Time Warner Cable
159.117.161.101,80,Horry Telephone Cooperative
198.24.77.66,80,Time Warner Cable
66.153.205.124,80,Horry Telephone Cooperative
66.153.250.37,80,Horry Telephone Cooperative
172.75.121.121,80,Time Warner Cable
66.153.205.96,80,Horry Telephone Cooperative
66.153.206.121,80,Horry Telephone Cooperative
108.175.184.246,80,Horry Telephone Cooperative
70.61.220.161,80,Time Warner Cable
66.56.157.211,80,Time Warner Cable
66.153.203.1,80,Horry Telephone Cooperative
64.150.146.65,80,Horry Telephone Cooperative
66.153.205.126,80,Horry Telephone Cooperative
66.153.205.133,80,Horry Telephone Cooperative
67.212.42.217,80,Horry Telephone Cooperative
66.153.191.127,80,Horry Telephone Cooperative
198.29.54.5,80,Horry Telephone Cooperative
66.153.205.86,80,Horry Telephone Cooperative
64.150.138.221,80,Horry Telephone Cooperative
66.153.205.111,80,Horry Telephone Cooperative
66.153.205.40,80,Horry Telephone Cooperative
66.153.204.70,80,Horry Telephone Cooperative
66.153.250.208,80,Horry Telephone Cooperative
66.153.203.106,80,Horry Telephone Cooperative
66.153.251.20,80,Horry Telephone Cooperative
66.153.205.117,80,Horry Telephone Cooperative
172.75.25.86,80,Time Warner Cable
71.68.220.142,80,Time Warner Cable
66.153.250.221,80,Horry Telephone Cooperative
64.138.235.89,80,Horry Telephone Cooperative
66.153.205.64,80,Horry Telephone Cooperative
66.153.203.126,80,Horry Telephone Cooperative
66.153.203.34,80,Horry Telephone Cooperative
66.153.250.2,80,Horry Telephone Cooperative
66.153.204.65,80,Horry Telephone Cooperative
66.153.206.153,80,Horry Telephone Cooperative
66.153.203.109,80,Horry Telephone Cooperative
24.172.232.194,80,Time Warner Cable
66.153.205.135,80,Horry Telephone Cooperative
172.75.29.122,80,Time Warner Cable
66.153.203.209,80,Horry Telephone Cooperative
66.56.152.231,80,Time Warner Cable
98.101.233.193,80,Time Warner Cable
66.153.205.100,80,Horry Telephone Cooperative
66.153.250.229,80,Horry Telephone Cooperative
66.153.250.234,80,Horry Telephone Cooperative
66.153.205.171,80,Horry Telephone Cooperative
162.252.3.241,80,Horry Telephone Cooperative
66.153.203.78,80,Horry Telephone Cooperative
66.153.203.0,80,Horry Telephone Cooperative
71.68.209.103,80,Time Warner Cable
66.153.203.46,80,Horry Telephone Cooperative
64.138.253.140,80,Horry Telephone Cooperative
66.153.206.140,80,Horry Telephone Cooperative
71.68.211.84,80,Time Warner Cable
66.153.204.82,80,Horry Telephone Cooperative
66.153.182.129,80,Horry Telephone Cooperative
107.190.149.42,80,Horry Telephone Cooperative
198.24.77.243,80,Time Warner Cable
64.138.252.76,80,Horry Telephone Cooperative
172.75.18.254,80,Time Warner Cable
198.24.76.2,80,Time Warner Cable
71.68.218.103,80,Time Warner Cable
66.153.206.133,80,Horry Telephone Cooperative
67.212.50.33,80,Horry Telephone Cooperative
162.252.5.5,80,Horry Telephone Cooperative
66.153.204.90,80,Horry Telephone Cooperative
70.61.220.42,80,Time Warner Cable
75.182.30.93,80,Time Warner Cable
66.153.205.90,80,Horry Telephone Cooperative
66.153.203.43,80,Horry Telephone Cooperative
66.153.250.251,80,Horry Telephone Cooperative
66.153.205.113,80,Horry Telephone Cooperative
64.138.253.206,80,Horry Telephone Cooperative
24.172.232.238,80,Time Warner Cable
64.150.129.172,80,Horry Telephone Cooperative
71.68.219.130,80,Time Warner Cable
108.175.186.70,80,Horry Telephone Cooperative
66.56.156.46,80,Time Warner Cable
66.153.204.64,80,Horry Telephone Cooperative
198.29.48.153,80,Horry Telephone Cooperative
66.153.203.67,80,Horry Telephone Cooperative
66.153.205.203,80,Horry Telephone Cooperative
