IP,PORT,DESCRIPTION
24.172.44.189,80,Time Warner Cable
208.65.21.22,80,Compunet
50.42.41.73,80,Frontier Communications
24.199.189.253,80,Time Warner Cable
71.68.197.20,80,Time Warner Cable
174.107.151.141,80,Time Warner Cable
75.183.128.30,80,Time Warner Cable
107.190.145.225,80,Horry Telephone Cooperative
174.107.134.159,80,Time Warner Cable
75.183.137.35,80,Time Warner Cable
70.101.12.229,80,Frontier Communications
50.42.47.86,80,Frontier Communications
208.65.21.93,80,Compunet
174.107.140.55,80,Time Warner Cable
70.63.224.13,80,Time Warner Cable
208.65.20.25,80,Compunet
70.63.224.133,80,Time Warner Cable
208.65.23.60,80,Compunet
208.65.23.65,80,Compunet
107.190.145.189,80,Horry Telephone Cooperative
50.123.144.110,80,Frontier Communications
208.65.21.25,80,Compunet
71.68.196.74,80,Time Warner Cable
174.107.138.253,80,Time Warner Cable
24.172.55.129,80,Time Warner Cable
24.172.45.238,80,Time Warner Cable
50.42.47.95,80,Frontier Communications
71.68.198.142,80,Time Warner Cable
50.42.34.177,80,Frontier Communications
174.107.136.56,80,Time Warner Cable
50.42.41.78,80,Frontier Communications
107.190.145.1,80,Horry Telephone Cooperative
75.183.133.18,80,Time Warner Cable
50.42.43.254,80,Frontier Communications
50.42.34.53,80,Frontier Communications
50.42.41.2,80,Frontier Communications
50.123.145.171,80,Frontier Communications
75.183.130.158,80,Time Warner Cable
50.42.43.20,80,Frontier Communications
24.172.55.117,80,Time Warner Cable
75.183.132.244,80,Time Warner Cable
71.68.197.194,80,Time Warner Cable
50.42.47.77,80,Frontier Communications
208.65.21.65,80,Compunet
75.183.138.29,80,Time Warner Cable
70.63.224.226,80,Time Warner Cable
208.65.23.91,80,Compunet
208.65.21.186,80,Compunet
174.107.134.121,80,Time Warner Cable
96.10.132.93,80,Time Warner Cable
174.107.129.137,80,Time Warner Cable
174.107.145.75,80,Time Warner Cable
208.65.20.218,80,Compunet
24.199.189.166,80,Time Warner Cable
50.123.144.121,80,Frontier Communications
174.107.135.114,80,Time Warner Cable
50.42.34.41,80,Frontier Communications
70.101.29.245,80,Frontier Communications
50.42.34.69,80,Frontier Communications
50.123.144.122,80,Frontier Communications
174.107.129.227,80,Time Warner Cable
50.42.34.1,80,Frontier Communications
65.184.126.4,80,Time Warner Cable
174.107.146.115,80,Time Warner Cable
208.65.23.179,80,Compunet
24.172.44.121,80,Time Warner Cable
50.42.34.154,80,Frontier Communications
208.65.21.16,80,Compunet
71.68.199.137,80,Time Warner Cable
24.172.45.97,80,Time Warner Cable
96.10.132.170,80,Time Warner Cable
174.107.140.98,80,Time Warner Cable
50.42.34.4,80,Frontier Communications
50.42.34.129,80,Frontier Communications
208.65.20.77,80,Compunet
96.10.104.50,80,Time Warner Cable
96.10.132.106,80,Time Warner Cable
174.107.139.243,80,Time Warner Cable
208.65.21.185,80,Compunet
50.42.34.61,80,Frontier Communications
208.65.21.35,80,Compunet
107.190.145.231,80,Horry Telephone Cooperative
50.123.145.50,80,Frontier Communications
174.107.134.84,80,Time Warner Cable
75.183.128.122,80,Time Warner Cable
107.190.145.138,80,Horry Telephone Cooperative
71.68.196.81,80,Time Warner Cable
174.107.128.166,80,Time Warner Cable
71.68.198.196,80,Time Warner Cable
71.68.196.160,80,Time Warner Cable
98.25.146.0,80,Time Warner Cable
50.42.46.210,80,Frontier Communications
208.65.21.36,80,Compunet
24.172.44.41,80,Time Warner Cable
75.183.128.183,80,Time Warner Cable
24.172.44.85,80,Time Warner Cable
74.37.214.134,80,Frontier Communications
65.87.150.139,80,EarthLink
65.184.124.74,80,Time Warner Cable
75.183.136.133,80,Time Warner Cable
24.172.44.202,80,Time Warner Cable
24.172.44.138,80,Time Warner Cable
174.107.148.90,80,Time Warner Cable
50.42.46.3,80,Frontier Communications
107.190.145.109,80,Horry Telephone Cooperative
208.65.23.36,80,Compunet
24.199.189.225,80,Time Warner Cable
50.42.41.76,80,Frontier Communications
50.42.47.94,80,Frontier Communications
65.184.125.11,80,Time Warner Cable
71.68.197.95,80,Time Warner Cable
75.183.128.80,80,Time Warner Cable
50.123.145.110,80,Frontier Communications
24.172.44.9,80,Time Warner Cable
208.65.22.212,80,Compunet
96.10.132.150,80,Time Warner Cable
70.63.224.238,80,Time Warner Cable
208.65.21.23,80,Compunet
24.199.189.58,80,Time Warner Cable
65.184.115.26,80,Time Warner Cable
50.123.144.250,80,Frontier Communications
50.123.171.207,80,Frontier Communications
74.37.215.211,80,Frontier Communications
174.107.135.71,80,Time Warner Cable
24.199.189.82,80,Time Warner Cable
24.199.189.121,80,Time Warner Cable
24.172.55.177,80,Time Warner Cable
24.172.44.198,80,Time Warner Cable
24.172.55.37,80,Time Warner Cable
75.183.131.0,80,Time Warner Cable
208.65.21.13,80,Compunet
50.42.41.213,80,Frontier Communications
50.42.34.37,80,Frontier Communications
75.183.139.135,80,Time Warner Cable
75.183.143.22,80,Time Warner Cable
50.42.41.130,80,Frontier Communications
50.42.34.141,80,Frontier Communications
50.42.34.93,80,Frontier Communications
75.183.138.226,80,Time Warner Cable
24.172.45.30,80,Time Warner Cable
208.65.23.54,80,Compunet
71.68.196.119,80,Time Warner Cable
24.172.44.33,80,Time Warner Cable
71.68.196.217,80,Time Warner Cable
